GUID,Aktywna,Nazwa
908c22ac-4837-4475-8b16-4d026cb783ec,1,Koparka
0d299345-e091-4a44-8c71-fa40ba0f8389,1,Kostka betonowa
4bd18558-500f-4ee9-85e0-c45172a1d61b,1,Kosztorysy
5ce03235-ef21-4952-8731-e709fc7331b8,1,Laboratorium
5f6cb29e-41cf-418a-b465-f5e6127ca93a,1,Logistyka
1646aa73-1ab4-4cda-acff-7c61a3f552d9,1,Materiały biurowe
dbee3367-fc9e-409b-a4d6-67548797071e,1,Materiały budowlane
eb69e8e5-09f9-4d8f-9563-cf0e235e5b06,1,Materiały instalacyjne
1e2e2e06-a260-4757-aeca-6fde1864ac76,1,Materiały wykończeniowe
9ce95f67-f7ff-45b9-97fa-88374db8eea9,1,Meble biurowe
cdea76ad-12e0-48c2-949d-cbe8518ae594,1,Medycyna
bba4de24-aa2b-4251-91e5-3e18e3f7e6ee,1,Miasto
9c002d56-2ca9-43e0-a01b-6a67100e2208,1,Nieruchomości
36c6f01c-792c-4063-b58d-6a8fd3d1296c,1,Noclegi
9cf62494-65c5-4248-9824-be3bd04044eb,1,Notariusz
8ce5fdfb-5833-4134-bf02-1e9b26608042,1,Ochrona
99e12d68-c0b9-43c1-b9a7-73e4a528682b,1,Odpady
378ae496-5445-4b12-9127-7502ec4c0fa2,1,Ogłoszenia
92edcd89-a681-4c8c-8b59-4b456157b5dc,1,Oprogramowanie
e1dea2f6-7be5-43c4-9143-3e6925996288,1,Paliwo
0abbf294-3d4e-40cc-91dd-d1daa97591de,1,Platforma płatnicza
ee3ceeee-3b81-4efb-97ae-a106fc67ccfd,1,PM
47422bb0-9348-455a-bbbc-c7472ada5af6,1,Podróż
8c5ff9eb-f736-4bb6-ad16-dfd2668b65bf,1,Powiat
cb646bfd-f0f1-4a88-af0e-19db4adafbe2,1,Ppoż
a85369de-92ab-4b74-8a0b-09e0f240951c,1,Pracownik
7fbf213d-964c-4d73-8d65-73653e9e0c27,1,Prasa
bb1ecb3b-8ea4-4b5f-aa1a-13358267d572,1,Produkcja
579bdb57-ecd5-46ea-a378-ab22669fda37,1,Produkcja budowa maszyn
4bb2575c-a8af-4535-b916-c3c889446043,1,Produkcja motoryzacja
d7da6aad-ab49-4b4b-8df4-80fc125ad27e,1,Produkcja spożywcza
b49da3b9-4028-431e-aa66-63acafa3bdb7,1,Projekt elektryczny
